//X,Y,Z,Nx,Ny,Nz
-95.49347687,131.60639954,-69.71330261,0.520137,-0.731494,0.440878
-95.53607941,148.05592346,-60.20301056,-0.716491,0.653503,0.244079
-95.32875824,128.53764343,-73.07291412,0.695670,-0.555535,0.455439
-95.34962463,135.73205566,-74.03820801,0.699365,0.185985,-0.690143
-95.34218597,136.80242920,-60.19150543,-0.455439,-0.555535,0.695670
-95.08235931,141.41479492,-73.51536560,0.714730,0.142946,-0.684636
-95.17375946,146.30308533,-56.97724152,-0.871065,0.407507,0.274196
-95.31470490,131.23005676,-76.50672913,0.940723,0.168426,-0.294404
-94.96597290,137.13722229,-59.55775070,-0.530906,-0.652256,0.541018
-94.89226532,145.22492981,-69.97344208,0.599543,0.737775,-0.310219
-94.90375519,138.08666992,-73.56902313,0.545109,-0.054651,-0.836582
-95.21657562,140.46769714,-73.71898651,0.585538,0.112999,-0.802730
-95.14952087,130.40023804,-71.30255127,0.442235,-0.679206,0.585753
-95.19242096,147.81202698,-65.77175903,0.390043,0.800953,-0.454248
-95.01943970,148.10644531,-65.11999512,0.387855,0.815613,-0.429354
-95.05957794,148.79020691,-61.49528885,-0.335949,0.939874,0.061438
-94.89416504,135.23037720,-73.79228973,0.637882,0.294036,-0.711793
-94.95110321,148.01069641,-58.59633255,-0.737492,0.557616,0.381011
-94.85655975,129.21008301,-73.17621613,0.775553,-0.367538,0.513258
-94.75785828,138.52203369,-57.17226410,-0.580942,-0.712600,0.393329
-94.81089783,132.92893982,-67.85964203,0.731310,-0.654330,0.192450
-94.76992798,146.14160156,-55.55325317,-0.845451,0.428175,0.319185
-94.85267639,144.89483643,-54.19092560,-0.861397,0.349798,0.368289
-94.79021454,128.42413330,-74.35476685,0.648869,-0.732494,-0.205966
-94.63007355,128.66838074,-74.01190948,0.721039,-0.573217,0.389262
-94.52519989,147.34751892,-65.86135864,0.575898,0.695393,-0.429849
-94.49931335,139.60626221,-55.09859085,-0.661664,-0.608331,0.438332
-94.45842743,135.13972473,-73.48307800,0.639430,0.202822,-0.741615
-94.69676208,141.70892334,-72.57682037,0.885921,0.176020,-0.429141
-94.37555695,144.45059204,-70.66394806,0.671185,0.567411,-0.477027
-94.70140076,145.95381165,-68.08460236,0.613000,0.682397,-0.398202
-94.73971558,129.22676086,-73.34638214,0.785072,-0.338753,0.518565
-94.74288940,142.02102661,-53.37648010,-0.821040,-0.149955,0.550824
-94.43978119,148.51374817,-63.62697220,0.281758,0.901330,-0.328963
-94.45348358,135.55641174,-61.17687988,-0.047576,-0.887632,0.458089
-94.68305969,148.88034058,-61.45520782,-0.148030,0.988750,-0.021470
-94.50959778,130.14936829,-74.83652496,0.929109,0.081783,-0.360650
-94.48876190,140.03843689,-54.50575256,-0.697386,-0.554247,0.454383
-94.48551941,143.54978943,-52.47328568,-0.916386,-0.105790,0.386064
